#x-axis	2
#second	Volt
+244.000E-03	-183.327E-03
+245.000E-03	-73.980E-03
+246.000E-03	-128.653E-03
+247.000E-03	-238.000E-03
+248.000E-03	-238.000E-03
+249.000E-03	-183.327E-03
+250.000E-03	-19.307E-03
+251.000E-03	+363.407E-03
+252.000E-03	+1.511548E+00
+253.000E-03	+3.862502E+00
+254.000E-03	+1.726824E+00
+255.000E-03	+469.337E-03
+256.000E-03	+35.367E-03
+257.000E-03	-128.653E-03
+258.000E-03	-238.000E-03
+259.000E-03	-238.000E-03
+260.000E-03	-183.327E-03
+261.000E-03	-73.980E-03
+262.000E-03	-183.327E-03
+263.000E-03	-238.000E-03
+264.000E-03	-238.000E-03
+265.000E-03	-183.327E-03
+266.000E-03	-19.307E-03
+267.000E-03	+418.080E-03
+268.000E-03	+1.894261E+00
+269.000E-03	+3.640392E+00
+270.000E-03	+1.344111E+00
+271.000E-03	+308.734E-03
+272.000E-03	-19.307E-03
+273.000E-03	-132.070E-03
+274.000E-03	-238.000E-03
+275.000E-03	-183.327E-03
+276.000E-03	-128.653E-03
+277.000E-03	-128.653E-03
+278.000E-03	-183.327E-03
+279.000E-03	-238.000E-03
+280.000E-03	-183.327E-03
+281.000E-03	-128.653E-03
+282.000E-03	+86.623E-03
+283.000E-03	+582.100E-03
+284.000E-03	+2.495668E+00
+285.000E-03	+3.257678E+00
+286.000E-03	+964.814E-03
+287.000E-03	+250.643E-03
+288.000E-03	-19.307E-03
+289.000E-03	-183.327E-03
+290.000E-03	-186.744E-03
+291.000E-03	-183.327E-03
+292.000E-03	-183.327E-03
+293.000E-03	-128.653E-03
+294.000E-03	-186.744E-03
+295.000E-03	-238.000E-03
+296.000E-03	-186.744E-03
+297.000E-03	-128.653E-03
+298.000E-03	+90.040E-03
+299.000E-03	+800.794E-03
+300.000E-03	+3.042402E+00
+301.000E-03	+2.710945E+00
+302.000E-03	+797.377E-03
+303.000E-03	+199.387E-03
+304.000E-03	-77.397E-03
+305.000E-03	-132.070E-03
+306.000E-03	-238.000E-03
+307.000E-03	-183.327E-03
+308.000E-03	-128.653E-03
+309.000E-03	-128.653E-03
+310.000E-03	-183.327E-03
+311.000E-03	-186.744E-03
+312.000E-03	-128.653E-03
+313.000E-03	-19.307E-03
+314.000E-03	+254.060E-03
+315.000E-03	+1.128834E+00
+316.000E-03	+3.479789E+00
+317.000E-03	+2.109538E+00
+318.000E-03	+578.683E-03
+319.000E-03	+90.040E-03
+320.000E-03	-128.653E-03
+321.000E-03	-186.744E-03
+322.000E-03	-238.000E-03
+323.000E-03	-183.327E-03
+324.000E-03	-73.980E-03
