#x-axis,1,2
#second,Volt,Volt
-2.4570000E-03,+153.8040040E-03,-1.5452260873E+00
-2.4567500E-03,+159.3316421E-03,-1.6005024686E+00
-2.4565000E-03,+159.3316421E-03,-1.5301507106E+00
-2.4562500E-03,+159.3316421E-03,-1.5251255850E+00
-2.4560000E-03,+159.3316421E-03,-1.6005024686E+00
-2.4557500E-03,+159.3316421E-03,-1.6005024686E+00
-2.4555000E-03,+152.2964663E-03,-1.5301507106E+00
-2.4552500E-03,+167.3718430E-03,-1.6708542267E+00
-2.4550000E-03,+161.8442049E-03,-1.6256280965E+00
-2.4547500E-03,+155.8140542E-03,-1.6306532221E+00
-2.4545000E-03,+165.8643053E-03,-1.6005024686E+00
-2.4542500E-03,+159.8341546E-03,-1.6708542267E+00
-2.4540000E-03,+167.3718430E-03,-1.6256280965E+00
-2.4537500E-03,+167.3718430E-03,-1.6809044778E+00
-2.4535000E-03,+173.9045063E-03,-1.6809044778E+00
-2.4532500E-03,+166.3668179E-03,-1.6809044778E+00
-2.4530000E-03,+161.8442049E-03,-1.6809044778E+00
-2.4527500E-03,+171.8944560E-03,-1.7261306080E+00
-2.4525000E-03,+168.3768681E-03,-1.7613064870E+00
-2.4522500E-03,+167.8743556E-03,-1.6859296034E+00
-2.4520000E-03,+172.3969686E-03,-1.7311557336E+00
-2.4517500E-03,+171.8944560E-03,-1.6809044778E+00
-2.4515000E-03,+168.3768681E-03,-1.8115577428E+00
-2.4512500E-03,+182.4472197E-03,-1.6909547290E+00
-2.4510000E-03,+175.4120439E-03,-1.7864321149E+00
-2.4507500E-03,+175.4120439E-03,-1.6809044778E+00
-2.4505000E-03,+181.9447072E-03,-1.7462311103E+00
-2.4502500E-03,+182.4472197E-03,-1.7613064870E+00
-2.4500000E-03,+175.4120439E-03,-1.7613064870E+00
-2.4497500E-03,+179.9346569E-03,-1.8065326172E+00
-2.4495000E-03,+183.4522448E-03,-1.7713567382E+00
-2.4492500E-03,+176.4170690E-03,-1.7713567382E+00
-2.4490000E-03,+188.4773704E-03,-1.8919597520E+00
-2.4487500E-03,+183.4522448E-03,-1.8869346264E+00
-2.4485000E-03,+189.9849081E-03,-1.8517587474E+00
-2.4482500E-03,+182.4472197E-03,-1.8467336218E+00
-2.4480000E-03,+177.9246067E-03,-1.9221105054E+00
-2.4477500E-03,+187.9748579E-03,-1.8718592497E+00
-2.4475000E-03,+191.4924458E-03,-1.8417084962E+00
-2.4472500E-03,+191.4924458E-03,-1.8467336218E+00
-2.4470000E-03,+191.4924458E-03,-1.9472361333E+00
-2.4467500E-03,+186.4673202E-03,-2.0025125146E+00
-2.4465000E-03,+189.9849081E-03,-1.9321607566E+00
-2.4462500E-03,+190.4874207E-03,-1.9271356310E+00
-2.4460000E-03,+185.9648076E-03,-1.9723617611E+00
-2.4457500E-03,+191.4924458E-03,-1.9673366356E+00
-2.4455000E-03,+198.0251090E-03,-2.0025125146E+00
-2.4452500E-03,+191.9949583E-03,-2.0025125146E+00
-2.4450000E-03,+196.5175713E-03,-2.0025125146E+00
-2.4447500E-03,+191.4924458E-03,-2.0025125146E+00
-2.4445000E-03,+191.4924458E-03,-2.0025125146E+00
-2.4442500E-03,+199.5326467E-03,-2.0025125146E+00
-2.4440000E-03,+202.0452095E-03,-2.0025125146E+00
-2.4437500E-03,+202.5477220E-03,-2.0025125146E+00
-2.4435000E-03,+199.5326467E-03,-2.0025125146E+00
-2.4432500E-03,+207.5728476E-03,-2.0075376402E+00
-2.4430000E-03,+204.5577723E-03,-2.0829145238E+00
-2.4427500E-03,+204.0552597E-03,-2.0829145238E+00
-2.4425000E-03,+207.5728476E-03,-2.0125627657E+00
-2.4422500E-03,+200.0351592E-03,-2.0728642726E+00
-2.4420000E-03,+207.5728476E-03,-2.0276381425E+00
-2.4417500E-03,+202.5477220E-03,-2.0829145238E+00
-2.4415000E-03,+212.5979732E-03,-2.0829145238E+00
-2.4412500E-03,+207.5728476E-03,-2.1633165330E+00
-2.4410000E-03,+207.5728476E-03,-2.1331657795E+00
-2.4407500E-03,+207.5728476E-03,-2.0829145238E+00
-2.4405000E-03,+207.5728476E-03,-2.1482411562E+00
-2.4402500E-03,+199.5326467E-03,-2.0879396494E+00
-2.4400000E-03,+202.0452095E-03,-2.1884421608E+00
-2.4397500E-03,+212.0954606E-03,-2.2437185422E+00
-2.4395000E-03,+208.5778727E-03,-2.1733667841E+00
-2.4392500E-03,+215.6130485E-03,-2.1633165330E+00
-2.4390000E-03,+215.6130485E-03,-2.1331657795E+00
-2.4387500E-03,+215.6130485E-03,-2.1281406539E+00
-2.4385000E-03,+208.5778727E-03,-2.2286431654E+00
-2.4382500E-03,+216.1155611E-03,-2.1683416585E+00
-2.4380000E-03,+220.6381741E-03,-2.2135677887E+00
-2.4377500E-03,+210.5879229E-03,-2.2085426631E+00
-2.4375000E-03,+214.1055109E-03,-2.2437185422E+00
-2.4372500E-03,+215.6130485E-03,-2.1683416585E+00
-2.4370000E-03,+218.1256113E-03,-2.2135677887E+00
-2.4367500E-03,+223.6532494E-03,-2.2085426631E+00
-2.4365000E-03,+223.6532494E-03,-2.2437185422E+00
-2.4362500E-03,+215.6130485E-03,-2.2437185422E+00
-2.4360000E-03,+215.6130485E-03,-2.2437185422E+00
-2.4357500E-03,+215.6130485E-03,-2.2889446723E+00
-2.4355000E-03,+222.1457118E-03,-2.2537687933E+00
-2.4352500E-03,+230.1859127E-03,-2.2487436677E+00
-2.4350000E-03,+218.1256113E-03,-2.2939697979E+00
-2.4347500E-03,+228.1758625E-03,-2.2437185422E+00
-2.4345000E-03,+224.6582746E-03,-2.3090451746E+00
-2.4342500E-03,+224.1557620E-03,-2.2336682910E+00
-2.4340000E-03,+231.6934504E-03,-2.1884421608E+00
-2.4337500E-03,+231.6934504E-03,-2.2889446723E+00
-2.4335000E-03,+231.6934504E-03,-2.2537687933E+00
-2.4332500E-03,+223.6532494E-03,-2.3241205513E+00
-2.4330000E-03,+226.1658122E-03,-2.2939697979E+00
-2.4327500E-03,+226.6683248E-03,-2.2889446723E+00
-2.4325000E-03,+230.1859127E-03,-2.3241205513E+00
-2.4322500E-03,+231.6934504E-03,-2.3241205513E+00
-2.4320000E-03,+228.6783750E-03,-2.3492461792E+00
-2.4317500E-03,+218.6281239E-03,-2.4045225605E+00
-2.4315000E-03,+222.1457118E-03,-2.4045225605E+00
-2.4312500E-03,+232.1959629E-03,-2.4045225605E+00
-2.4310000E-03,+236.7185759E-03,-2.3743718071E+00
-2.4307500E-03,+231.6934504E-03,-2.3241205513E+00
-2.4305000E-03,+231.6934504E-03,-2.3894471838E+00
-2.4302500E-03,+231.6934504E-03,-2.4045225605E+00
-2.4300000E-03,+231.6934504E-03,-2.4045225605E+00
-2.4297500E-03,+231.6934504E-03,-2.3542713048E+00
-2.4295000E-03,+231.6934504E-03,-2.3894471838E+00
-2.4292500E-03,+232.1959629E-03,-2.4045225605E+00
-2.4290000E-03,+239.7336513E-03,-2.3743718071E+00
-2.4287500E-03,+234.7085257E-03,-2.3693466815E+00
-2.4285000E-03,+238.2261136E-03,-2.4045225605E+00
-2.4282500E-03,+239.7336513E-03,-2.3291456769E+00
-2.4280000E-03,+236.7185759E-03,-2.4045225605E+00
-2.4277500E-03,+231.6934504E-03,-2.3542713048E+00
-2.4275000E-03,+238.2261136E-03,-2.3894471838E+00
-2.4272500E-03,+239.7336513E-03,-2.4045225605E+00
-2.4270000E-03,+236.7185759E-03,-2.4045225605E+00
-2.4267500E-03,+231.6934504E-03,-2.4045225605E+00
-2.4265000E-03,+231.6934504E-03,-2.4045225605E+00
-2.4262500E-03,+239.7336513E-03,-2.4045225605E+00
-2.4260000E-03,+236.7185759E-03,-2.4045225605E+00
-2.4257500E-03,+231.6934504E-03,-2.4497486907E+00
-2.4255000E-03,+244.7587769E-03,-2.4145728117E+00
-2.4252500E-03,+246.2663145E-03,-2.4849245697E+00
-2.4250000E-03,+234.2060131E-03,-2.4547738163E+00
-2.4247500E-03,+239.7336513E-03,-2.4045225605E+00
-2.4245000E-03,+239.7336513E-03,-2.4045225605E+00
-2.4242500E-03,+239.7336513E-03,-2.4748743186E+00
-2.4240000E-03,+242.2462141E-03,-2.4045225605E+00
-2.4237500E-03,+242.7487266E-03,-2.4497486907E+00
-2.4235000E-03,+239.7336513E-03,-2.4849245697E+00
-2.4232500E-03,+240.2361638E-03,-2.4849245697E+00
-2.4230000E-03,+244.7587769E-03,-2.4849245697E+00
-2.4227500E-03,+239.7336513E-03,-2.4849245697E+00
-2.4225000E-03,+232.6984755E-03,-2.4849245697E+00
-2.4222500E-03,+246.2663145E-03,-2.4899496953E+00
-2.4220000E-03,+239.2311387E-03,-2.5351758255E+00
-2.4217500E-03,+250.7889275E-03,-2.4849245697E+00
-2.4215000E-03,+247.7738522E-03,-2.4145728117E+00
-2.4212500E-03,+254.3065154E-03,-2.5653265789E+00
-2.4210000E-03,+242.2462141E-03,-2.5351758255E+00
-2.4207500E-03,+247.7738522E-03,-2.5301506999E+00
-2.4205000E-03,+247.7738522E-03,-2.4949748209E+00
-2.4202500E-03,+247.7738522E-03,-2.5552763278E+00
-2.4200000E-03,+247.7738522E-03,-2.5100501976E+00
-2.4197500E-03,+247.7738522E-03,-2.5653265789E+00
-2.4195000E-03,+247.7738522E-03,-2.5653265789E+00
-2.4192500E-03,+240.2361638E-03,-2.5552763278E+00
-2.4190000E-03,+247.7738522E-03,-2.5100501976E+00
-2.4187500E-03,+256.8190782E-03,-2.5653265789E+00
-2.4185000E-03,+250.2864150E-03,-2.4949748209E+00
-2.4182500E-03,+240.2361638E-03,-2.5552763278E+00
-2.4180000E-03,+247.7738522E-03,-2.5351758255E+00
-2.4177500E-03,+247.7738522E-03,-2.5954773324E+00
-2.4175000E-03,+240.7386764E-03,-2.5653265789E+00
-2.4172500E-03,+254.3065154E-03,-2.4899496953E+00
