#x-axis,1,2
#second,Volt,Volt
#+543.20000E-03,,
+550.87500E-03,+12.06030E-03,+402.01005E-03
+550.90000E-03,+63.81909E-03,+402.01005E-03
+550.92500E-03,+96.48241E-03,+391.95979E-03
+550.95000E-03,+144.72362E-03,+402.01005E-03
+550.97500E-03,+188.94472E-03,+402.01005E-03
+551.00000E-03,+225.12563E-03,+381.90954E-03
+551.02500E-03,+261.30653E-03,+410.80402E-03
+551.05000E-03,+296.98492E-03,+402.01005E-03
+551.07500E-03,+314.07035E-03,+391.95979E-03
+551.10000E-03,+337.68844E-03,+400.75376E-03
+551.12500E-03,+357.78894E-03,+391.95979E-03
+551.15000E-03,+377.88944E-03,+381.90954E-03
+551.17500E-03,+385.92964E-03,+391.95979E-03
+551.20000E-03,+385.92964E-03,+420.85427E-03
+551.22500E-03,+377.88944E-03,+402.01005E-03
+551.25000E-03,+369.84924E-03,+402.01005E-03
+551.27500E-03,+369.84924E-03,+402.01005E-03
+551.30000E-03,+353.76884E-03,+402.01005E-03
+551.32500E-03,+333.16583E-03,+412.06030E-03
+551.35000E-03,+305.52763E-03,+400.75376E-03
+551.37500E-03,+273.36683E-03,+391.95979E-03
+551.40000E-03,+248.74372E-03,+402.01005E-03
+551.42500E-03,+212.56281E-03,+391.95979E-03
+551.45000E-03,+184.42211E-03,+381.90954E-03
+551.47500E-03,+140.20100E-03,+390.70351E-03
+551.50000E-03,+104.02010E-03,+381.90954E-03
+551.52500E-03,+64.32161E-03,+402.01005E-03
+551.55000E-03,+16.08040E-03,+381.90954E-03
+551.57500E-03,-16.08040E-03,+402.01005E-03
+551.60000E-03,-56.28141E-03,+381.90954E-03
+551.62500E-03,-96.48241E-03,+402.01005E-03
+551.65000E-03,-136.68342E-03,+402.01005E-03
+551.67500E-03,-172.86432E-03,+381.90954E-03
+551.70000E-03,-208.54271E-03,+420.85427E-03
+551.72500E-03,-233.16583E-03,+402.01005E-03
+551.75000E-03,-257.28643E-03,+381.90954E-03
+551.77500E-03,-281.40703E-03,+402.01005E-03
+551.80000E-03,-297.98995E-03,+402.01005E-03
+551.82500E-03,-317.58794E-03,+390.70351E-03
+551.85000E-03,-329.64824E-03,+419.59799E-03
+551.87500E-03,-337.68844E-03,+410.80402E-03
+551.90000E-03,-337.68844E-03,+381.90954E-03
+551.92500E-03,-337.68844E-03,+390.70351E-03
+551.95000E-03,-330.15075E-03,+400.75376E-03
+551.97500E-03,-325.62814E-03,+391.95979E-03
+552.00000E-03,-313.06532E-03,+402.01005E-03
+552.02500E-03,-292.96482E-03,+402.01005E-03
+552.05000E-03,-265.32663E-03,+419.59799E-03
+552.07500E-03,-252.76382E-03,+410.80402E-03
+552.10000E-03,-217.08542E-03,+381.90954E-03
+552.12500E-03,-191.95980E-03,+402.01005E-03
+552.15000E-03,-160.80402E-03,+381.90954E-03
+552.17500E-03,-132.16080E-03,+381.90954E-03
+552.20000E-03,-103.51759E-03,+400.75376E-03
+552.22500E-03,-59.79899E-03,+402.01005E-03
+552.25000E-03,-24.12060E-03,+381.90954E-03
+552.27500E-03,+8.04020E-03,+412.06030E-03
+552.30000E-03,+32.16080E-03,+400.75376E-03
+552.32500E-03,+72.36181E-03,+402.01005E-03
+552.35000E-03,+104.52261E-03,+381.90954E-03
+552.37500E-03,+136.68342E-03,+391.95979E-03
+552.40000E-03,+168.84422E-03,+400.75376E-03
+552.42500E-03,+184.92462E-03,+402.01005E-03
+552.45000E-03,+209.54774E-03,+402.01005E-03
+552.47500E-03,+233.16583E-03,+402.01005E-03
+552.50000E-03,+249.24623E-03,+402.01005E-03
+552.52500E-03,+257.28643E-03,+402.01005E-03
+552.55000E-03,+273.36683E-03,+381.90954E-03
+552.57500E-03,+285.42713E-03,+391.95979E-03
+552.60000E-03,+288.94472E-03,+400.75376E-03
+552.62500E-03,+273.36683E-03,+402.01005E-03
+552.65000E-03,+273.36683E-03,+402.01005E-03
+552.67500E-03,+268.84422E-03,+402.01005E-03
+552.70000E-03,+257.28643E-03,+402.01005E-03
+552.72500E-03,+241.20603E-03,+403.26633E-03
+552.75000E-03,+224.62311E-03,+400.75376E-03
+552.77500E-03,+205.02512E-03,+402.01005E-03
+552.80000E-03,+184.42211E-03,+402.01005E-03
+552.82500E-03,+156.28141E-03,+412.06030E-03
+552.85000E-03,+128.64321E-03,+400.75376E-03
+552.87500E-03,+100.00000E-03,+391.95979E-03
+552.90000E-03,+72.36181E-03,+402.01005E-03
+552.92500E-03,+40.20100E-03,+402.01005E-03
+552.95000E-03,+8.04020E-03,+400.75376E-03
+552.97500E-03,-20.10050E-03,+402.01005E-03
+553.00000E-03,-40.20100E-03,+381.90954E-03
+553.02500E-03,-72.36181E-03,+412.06030E-03
+553.05000E-03,-104.52261E-03,+383.16583E-03
+553.07500E-03,-128.64321E-03,+390.70351E-03
+553.10000E-03,-152.76382E-03,+402.01005E-03
+553.12500E-03,-172.86432E-03,+390.70351E-03
+553.15000E-03,-192.96482E-03,+381.90954E-03
+553.17500E-03,-209.04522E-03,+381.90954E-03
+553.20000E-03,-225.12563E-03,+381.90954E-03
+553.22500E-03,-233.16583E-03,+402.01005E-03
+553.25000E-03,-240.70352E-03,+402.01005E-03
+553.27500E-03,-249.24623E-03,+391.95979E-03
+553.30000E-03,-249.24623E-03,+402.01005E-03
+553.32500E-03,-249.24623E-03,+402.01005E-03
+553.35000E-03,-248.74372E-03,+400.75376E-03
+553.37500E-03,-237.18593E-03,+391.95979E-03
+553.40000E-03,-233.16583E-03,+402.01005E-03
+553.42500E-03,-217.08542E-03,+381.90954E-03
+553.45000E-03,-208.04020E-03,+381.90954E-03
+553.47500E-03,-184.92462E-03,+402.01005E-03
+553.50000E-03,-168.34171E-03,+381.90954E-03
+553.52500E-03,-140.20100E-03,+381.90954E-03
+553.55000E-03,-120.10050E-03,+402.01005E-03
+553.57500E-03,-100.00000E-03,+391.95979E-03
+553.60000E-03,-79.89950E-03,+402.01005E-03
+553.62500E-03,-44.22111E-03,+402.01005E-03
+553.65000E-03,-16.08040E-03,+381.90954E-03
+553.67500E-03,+0.0E+00,+391.95979E-03
+553.70000E-03,+32.16080E-03,+381.90954E-03
+553.72500E-03,+52.26131E-03,+381.90954E-03
+553.75000E-03,+80.40201E-03,+402.01005E-03
+553.77500E-03,+96.48241E-03,+412.06030E-03
+553.80000E-03,+120.60301E-03,+400.75376E-03
+553.82500E-03,+132.16080E-03,+390.70351E-03
+553.85000E-03,+152.76382E-03,+402.01005E-03
+553.87500E-03,+168.84422E-03,+402.01005E-03
+553.90000E-03,+184.42211E-03,+400.75376E-03
+553.92500E-03,+192.96482E-03,+402.01005E-03
+553.95000E-03,+192.96482E-03,+381.90954E-03
+553.97500E-03,+201.00502E-03,+391.95979E-03
+554.00000E-03,+201.00502E-03,+402.01005E-03
+554.02500E-03,+205.02512E-03,+390.70351E-03
+554.05000E-03,+201.00502E-03,+381.90954E-03
+554.07500E-03,+192.96482E-03,+391.95979E-03
+554.10000E-03,+184.92462E-03,+381.90954E-03
+554.12500E-03,+168.84422E-03,+391.95979E-03
+554.15000E-03,+160.80402E-03,+381.90954E-03
+554.17500E-03,+152.76382E-03,+402.01005E-03
+554.20000E-03,+128.64321E-03,+402.01005E-03
+554.22500E-03,+116.08040E-03,+390.70351E-03
+554.25000E-03,+96.48241E-03,+402.01005E-03
+554.27500E-03,+72.36181E-03,+391.95979E-03
+554.30000E-03,+56.28141E-03,+402.01005E-03
+554.32500E-03,+32.16080E-03,+402.01005E-03
+554.35000E-03,+15.57789E-03,+402.01005E-03
+554.37500E-03,-11.55779E-03,+402.01005E-03
+554.40000E-03,-24.12060E-03,+381.90954E-03
+554.42500E-03,-51.75879E-03,+391.95979E-03
+554.45000E-03,-79.39698E-03,+400.75376E-03
+554.47500E-03,-91.95980E-03,+410.80402E-03
+554.50000E-03,-104.52261E-03,+400.75376E-03
+554.52500E-03,-124.62311E-03,+381.90954E-03
+554.55000E-03,-136.68342E-03,+381.90954E-03
+554.57500E-03,-156.78392E-03,+410.80402E-03
+554.60000E-03,-168.34171E-03,+400.75376E-03
+554.62500E-03,-176.88442E-03,+402.01005E-03
+554.65000E-03,-176.88442E-03,+381.90954E-03
+554.67500E-03,-184.92462E-03,+391.95979E-03
+554.70000E-03,-184.92462E-03,+419.59799E-03
+554.72500E-03,-180.90452E-03,+410.80402E-03
+554.75000E-03,-176.88442E-03,+402.01005E-03
+554.77500E-03,-176.88442E-03,+391.95979E-03
+554.80000E-03,-168.84422E-03,+402.01005E-03
+554.82500E-03,-164.32161E-03,+402.01005E-03
+554.85000E-03,-152.26130E-03,+381.90954E-03
+554.87500E-03,-136.68342E-03,+390.70351E-03
+554.90000E-03,-120.60301E-03,+402.01005E-03
+554.92500E-03,-108.04020E-03,+381.90954E-03
+554.95000E-03,-95.97990E-03,+402.01005E-03
+554.97500E-03,-72.36181E-03,+402.01005E-03
+555.00000E-03,-56.28141E-03,+381.90954E-03
+555.02500E-03,-36.18090E-03,+381.90954E-03
+555.05000E-03,-16.08040E-03,+402.01005E-03
+555.07500E-03,+4.02010E-03,+391.95979E-03
+555.10000E-03,+16.08040E-03,+402.01005E-03
+555.12500E-03,+32.16080E-03,+381.90954E-03
+555.15000E-03,+56.28141E-03,+402.01005E-03
+555.17500E-03,+67.83920E-03,+402.01005E-03
+555.20000E-03,+88.44221E-03,+402.01005E-03
+555.22500E-03,+100.00000E-03,+381.90954E-03
+555.25000E-03,+104.52261E-03,+381.90954E-03
+555.27500E-03,+120.60301E-03,+391.95979E-03
+555.30000E-03,+128.64321E-03,+400.75376E-03
+555.32500E-03,+136.68342E-03,+381.90954E-03
+555.35000E-03,+144.72362E-03,+381.90954E-03
+555.37500E-03,+148.74372E-03,+390.70351E-03
+555.40000E-03,+152.26130E-03,+381.90954E-03
+555.42500E-03,+152.76382E-03,+410.80402E-03
+555.45000E-03,+152.26130E-03,+400.75376E-03
+555.47500E-03,+145.22613E-03,+412.06030E-03
+555.50000E-03,+136.68342E-03,+381.90954E-03
+555.52500E-03,+128.64321E-03,+390.70351E-03
+555.55000E-03,+119.59799E-03,+402.01005E-03
+555.57500E-03,+108.04020E-03,+399.49748E-03
+555.60000E-03,+96.48241E-03,+400.75376E-03
+555.62500E-03,+80.40201E-03,+399.49748E-03
+555.65000E-03,+71.85930E-03,+402.01005E-03
+555.67500E-03,+48.24121E-03,+412.06030E-03
+555.70000E-03,+40.20100E-03,+381.90954E-03
+555.72500E-03,+24.12060E-03,+412.06030E-03
+555.75000E-03,+7.53769E-03,+381.90954E-03
+555.77500E-03,-12.06030E-03,+390.70351E-03
+555.80000E-03,-24.12060E-03,+400.75376E-03
+555.82500E-03,-36.18090E-03,+402.01005E-03
+555.85000E-03,-56.28141E-03,+402.01005E-03
+555.87500E-03,-63.31658E-03,+390.70351E-03
+555.90000E-03,-87.93970E-03,+381.90954E-03
+555.92500E-03,-96.48241E-03,+390.70351E-03
+555.95000E-03,-104.02010E-03,+400.75376E-03
+555.97500E-03,-116.58291E-03,+391.95979E-03
+556.00000E-03,-128.14070E-03,+381.90954E-03
+556.02500E-03,-128.64321E-03,+391.95979E-03
+556.05000E-03,-136.68342E-03,+383.16583E-03
